Accession,Gene,Description,KO_MG132,WT_MG132,WT_Untreated,Ratio_1,Ratio_2
Q13952,NFYC,Nuclear transcription factor Y subunit gamma,592574.4,906835.2,267966.6,3.384135187,1.530331381
Q14240,EIF4A2,Eukaryotic initiation factor 4A-II,2298.9,164374.4,2635,62.38117647,71.50132672
Q14376,GALE,UDP-glucose 4-epimerase,4597.8,550345.6,5270,104.4299051,119.6975945
Q14494,NFE2L1,Nuclear factor erythroid 2-related factor 1,2298.9,196361.2,2635,74.52037951,85.41528557
Q14671,PUM1,Pumilio homolog 1,774572.7,1548038.1,679444,2.278389536,1.998570438
Q14691,GINS1,DNA replication complex GINS protein PSF1,2298.9,119473.7,2635,45.34106262,51.96994215
Q14697,GANAB,Neutral alpha-glucosidase AB,1221644.1,1962863,192365,10.20384685,1.60673882
Q14749,GNMT,Glycine N-methyltransferase,2298.9,398263,2635,151.1434535,173.2406803
Q15005,SPCS2,Signal peptidase complex subunit 2,2298.9,750402.2,2635,284.7826186,326.417939
Q15257,PPP2R4,Serine/threonine-protein phosphatase 2A activator,2298.9,219742.7,2635,83.39381404,95.5860194
Q15363,TMED2,Transmembrane emp24 domain-containing protein 2,2298.9,165112.8,2635,62.66140417,71.82252382
Q15388,TOMM20,Mitochondrial import receptor subunit TOM20 homolog,906115.5,1407064.9,180434.1,7.798220514,1.552853803
Q15392,DHCR24,Delta(24)-sterol reductase,664372.1,1108862.8,86930.2,12.75578338,1.669038781
Q15428,SF3A2,Splicing factor 3A subunit 2,4597.8,254098.4,5270,48.21601518,55.2652138
Q15904,ATP6AP1,V-type proton ATPase subunit S1,2298.9,841772.4,2635,319.4582163,366.1631215
Q16222,UAP1,UDP-N-acetylhexosamine pyrophosphorylase,2298.9,92654.9,2635,35.16314991,40.30401496
Q16763,UBE2S,Ubiquitin-conjugating enzyme E2 S,495663,1172638.4,699828.6,1.675607999,2.36579773
Q5BJH7,YIF1B,Protein YIF1B,2298.9,1556130.7,2635,590.5619355,676.9023011
Q5BKT4,ALG10,"Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase",2298.9,132894.2,2635,50.4342315,57.80773413
Q5T3J3,LRIF1,Ligand-dependent nuclear receptor-interacting factor 1,266400.1,668348.3,384888.7,1.736471609,2.508813998
Q6NXT6,TAPT1,Transmembrane anterior posterior transformation protein 1 homolog,2298.9,158258.9,2635,60.06030361,68.84114142
Q6P2Q9,PRPF8,Pre-mRNA-processing-splicing factor 8,585967.8,903911.5,485116.1,1.863289015,1.542595856
Q6PEV8,FAM199X,Protein FAM199X,2298.9,435346.6,2635,165.216926,189.3716995
Q6PKG0,LARP1,La-related protein 1,341015.9,791318.4,475471.1,1.664282855,2.32047362
Q6RFH5,WDR74,WD repeat-containing protein 74,662428.1,1286717.3,446857.2,2.879482081,1.942425601
Q6UWP7,LCLAT1,Lysocardiolipin acyltransferase 1,2298.9,169414.8,2635,64.29404175,73.69385358
Q6ZYL4,GTF2H5,General transcription factor IIH subunit 5,2298.9,1038153.7,2635,393.9862239,451.5871504
Q86V86,PIM3,Serine/threonine-protein kinase pim-3,2298.9,209977.9,2635,79.68800759,91.33842272
Q86X29,LSR,Lipolysis-stimulated lipoprotein receptor,2298.9,170258.5,2635,64.6142315,74.06085519
Q86YC3,NRROS,Negative regulator of reactive oxygen species,2298.9,444364.8,2635,168.6393928,193.2945322
Q86YR7,MCF2L2,Probable guanine nucleotide exchange factor MCF2L2,2298.9,400802.8,2635,152.1073245,174.3454696
Q8IXR5,FAM178B,Protein FAM178B,204645.5,2496259.1,879268.7,2.839017356,12.19796722
Q8IYJ1,CPNE9,Copine-9,2298.9,704539.3,2635,267.3773435,306.4680064
Q8IZD4,DCP1B,mRNA-decapping enzyme 1B,2298.9,319117.5,2635,121.1072106,138.813128
Q8N653,LZTR1,Leucine-zipper-like transcriptional regulator 1,2298.9,330496.9,2635,125.4257685,143.7630606
Q8NDZ6,TMEM161B,Transmembrane protein 161B,115969.9,191021,2635,72.49373814,1.647160168
Q8NI51,CTCFL,Transcriptional repressor CTCFL,2298.9,645011.1,2635,244.7859962,280.5737962
Q8TC12,RDH11,Retinol dehydrogenase 11,178769.3,549428.9,163052.6,3.369642066,3.073396271
Q8TCT9,HM13,Minor histocompatibility antigen H13,580761.3,963987.2,2635,365.8395446,1.659868176
Q8WUE5,CT55,Cancer/testis antigen 55,2298.9,241935.1,2635,91.81597723,105.2395059
Q8WVC6,DCAKD,Dephospho-CoA kinase domain-containing protein,1436357.5,2396134.3,971371.6,2.466753506,1.668201893
Q8WYK1,CNTNAP5,Contactin-associated protein-like 5,2298.9,1173097.6,2635,445.1983302,510.2864848
Q92535,PIGC,Phosphatidylinositol N-acetylglucosaminyltransferase subunit C,4597.8,232509.9,5270,44.11952562,50.569816
Q92995,USP13,Ubiquitin carboxyl-terminal hydrolase 13,2298.9,243635.8,2635,92.46140417,105.9792944
Q93009,USP7,Ubiquitin carboxyl-terminal hydrolase 7,510826.1,1273381.8,779136,1.634351127,2.492789229
Q93063,EXT2,Exostosin-2,2298.9,290919.4,2635,110.4058444,126.5472182
Q96A57,TMEM230,Transmembrane protein 230,2298.9,138907.3,2635,52.71624288,60.4233764
Q96B96,TMEM159,Promethin,278534.7,737024.9,0.1,7370249,2.646079286
Q96BD0,SLCO4A1,Solute carrier organic anion transporter family member 4A1,2298.9,95235.6,2635,36.14254269,41.42659533
Q96BM9,ARL8A,ADP-ribosylation factor-like protein 8A,2298.9,357471.7,2635,135.6628843,155.4968463
Q96BW5,PTER,Phosphotriesterase-related protein,2298.9,117337.9,2635,44.53051233,51.04088912
Q96EP0,RNF31,E3 ubiquitin-protein ligase RNF31,2298.9,167394.3,2635,63.52724858,72.81495498
Q96F44,TRIM11,E3 ubiquitin-protein ligase TRIM11,2298.9,150682.6,2635,57.18504744,65.54552177
Q96GD4,AURKB,Aurora kinase B,2298.9,97769.1,2635,37.10402277,42.52864413
Q96I51,RCC1L,RCC1-like G exchanging factor-like protein,2298.9,224455.2,2635,85.18223909,97.63591283
Q99442,SEC62,Translocation protein SEC62,2298.9,70376.4,2635,26.7083112,30.61307582
Q99523,SORT1,Sortilin,2298.9,355539.6,2635,134.9296395,154.6564009
Q99590,SCAF11,Protein SCAF11,2298.9,158955.5,2635,60.32466793,69.1441559
Q99741,CDC6,Cell division control protein 6 homolog,2298.9,63596.4,2635,24.13525617,27.66383923
Q9BRQ5,ORAI3,Protein orai-3,2298.9,122990.8,2635,46.67582543,53.49984775
Q9BT73,PSMG3,Proteasome assembly chaperone 3,85045.8,250299,0.1,2502990,2.943108302
Q9BUB7,TMEM70,"Transmembrane protein 70, mitochondrial",2298.9,114690.4,2635,43.5257685,49.88925138
Q9BVC6,TMEM109,Transmembrane protein 109,2298.9,130951.9,2635,49.69711575,56.9628518
Q9BVK6,TMED9,Transmembrane emp24 domain-containing protein 9,2298.9,496442,2635,188.4030361,215.9476271
Q9BW27,NUP85,Nuclear pore complex protein Nup85,440632.6,680682,281273,2.420004764,1.544783568
Q9BWL3,C1ORF43,Uncharacterized protein C1orf43,2298.9,439040.4,2635,166.6187476,190.978468
Q9BYX7,POTEKP,Putative beta-actin-like protein 3,2298.9,904086.5,2635,343.1068311,393.2691722
Q9BZ67,FRMD8,FERM domain-containing protein 8,528160.6,834153.5,0.1,8341535,1.579355787
Q9BZX2,UCK2,Uridine-cytidine kinase 2,155437.5,284099.1,0.1,2840991,1.82773848
Q9H0A0,NAT10,RNA cytidine acetyltransferase,2298.9,72371.2,2635,27.46535104,31.48079516
Q9H1E3,NUCKS1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,0.1,979510.6,456837.5,2.144111637,9795106
Q9H1Y0,ATG5,Autophagy protein 5,2298.9,1617421,2635,613.8220114,703.5630084
Q9H211,CDT1,DNA replication factor Cdt1,2298.9,984818,2635,373.7449715,428.3866197
Q9H3K6,BOLA2,BolA-like protein 2,2298.9,382420.4,2635,145.1310816,166.3492975
Q9H3S7,PTPN23,Tyrosine-protein phosphatase non-receptor type 23,2298.9,470344.6,2635,178.4988994,204.5955022
Q9H4A4,RNPEP,Aminopeptidase B,2298.9,216214.3,2635,82.05476281,94.0511984
Q9H7F0,ATP13A3,Probable cation-transporting ATPase 13A3,189331.8,298058.8,0.1,2980588,1.574266975
Q9H930,SP140L,Nuclear body protein SP140-like protein,165383.8,450265.4,5270,85.43935484,2.7225484
Q9HCN6,GP6,Platelet glycoprotein VI,2298.9,283130.6,2635,107.4499431,123.1591631
Q9NQG6,MIEF1,Mitochondrial dynamics protein MID51,174352.1,329556.4,0.1,3295564,1.890177405
Q9NQR1,KMT5A,N-lysine methyltransferase KMT5A,9195.6,3328248.1,10540,315.7730645,361.9391992
Q9NRG9,AAAS,Aladin,616074.4,952592.8,473804.1,2.010520382,1.546230131
Q9NUQ2,AGPAT5,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,2298.9,342264.6,2635,129.8916888,148.8819
Q9NUT2,ABCB8,"ATP-binding cassette sub-family B member 8, mitochondrial",4597.8,740051.4,5270,140.4272106,160.9577189
Q9NVH1,DNAJC11,DnaJ homolog subfamily C member 11,97992.4,161960.5,0.1,1619605,1.652786339
Q9P0I2,EMC3,ER membrane protein complex subunit 3,2298.9,200597.9,2635,76.12823529,87.25821045
Q9P287,BCCIP,BRCA2 and CDKN1A-interacting protein,2298.9,137622.3,2635,52.22857685,59.86441342
Q9UBM7,DHCR7,7-dehydrocholesterol reductase,2298.9,2433230.2,2635,923.4270209,1058.432381
Q9UGL1,KDM5B,Lysine-specific demethylase 5B,521382.9,805630.9,222187.2,3.625910493,1.545180903
Q9UGP8,SEC63,Translocation protein SEC63 homolog,2298.9,587547.1,2635,222.9780266,255.5774936
Q9UJX3,ANAPC7,Anaphase-promoting complex subunit 7,151542.3,356351.4,2635,135.237723,2.351497899
Q9UJX4,ANAPC5,Anaphase-promoting complex subunit 5,122464.3,352622.2,2635,133.8224668,2.879387707
Q9UNL2,SSR3,Translocon-associated protein subunit gamma,408861.4,1663452,102500.5,16.22872084,4.068498518
Q9UPN7,PPP6R1,Serine/threonine-protein phosphatase 6 regulatory subunit 1,2298.9,286106.2,2635,108.579203,124.4535212
Q9Y285,FARSA,Phenylalanine--tRNA ligase alpha subunit,368225.2,1287641.4,232003.5,5.550094718,3.496885602
Q9Y4E8,USP15,Ubiquitin carboxyl-terminal hydrolase 15,2298.9,124020.4,2635,47.06656546,53.94771412
Q9Y5A9,YTHDF2,YTH domain-containing family protein 2,197218,437455.2,179271.8,2.440178545,2.218130191
Q9Y5Q0,FADS3,Fatty acid desaturase 3,2298.9,1154428.2,2635,438.1131689,502.1654704
Q9Y5S1,TRPV2,Transient receptor potential cation channel subfamily V member 2,2298.9,113798.3,2635,43.18721063,49.50119622
Q9Y5V3,MAGED1,Melanoma-associated antigen D1,66241.8,1405436.1,554255.7,2.535717901,21.21675589
Q9Y673,ALG5,Dolichyl-phosphate beta-glucosyltransferase,2298.9,307882.1,2635,116.8433017,133.9258341
Q9Y6B2,EID1,EP300-interacting inhibitor of differentiation 1,2298.9,2970517.6,2635,1127.331157,1292.147375
